Insert 	 Ascending 	 Order 	 Prefix 	 Order 	 Random 	 Order
Method 	 Depth 	 Cost 	 Depth 	 Cost 	 Depth 	 Cost 
L 	 5000 	 8738.9033 	 13 	 35.0723 	 28 	 49.7112
A 	 5000 	 1888.7838 	 2954 	 1120.9948 	 28 	 48.1300
R 	 2492 	 956.0459 	 1774 	 682.8730 	 27 	 47.0114
B 	 206 	 220.9063 	 20 	 47.4414 	 23 	 39.6095
S 	 5000 	 25.8462 	 5000 	 29.0189 	 31 	 55.8783
V 	 13 	 37.3429 	 13 	 38.0061 	 15 	 36.4881
